Instance_ID,Location,Text
54,Perth,"you,one,amaz,ladi"
55,Sydney,"gameofthron,let,fun,begin"
56,Melbourne,"bella,but,catch,stay,wed,venu,there,retreat,space"
57,Sydney,"ive,commit,surf,rest,life,sydney,australia"
58,Perth,"and,first,team,drawn,away,round,fc"
59,Perth,"congrat,hyde,doddi,6,9,round,4,twittertipst,now"
60,Sydney,""
61,Perth,"nice,shout,easier,book,star,ubiquit,tourism"
62,Sydney,"eu,precis,diver,que,completament,viciado,em,pari,de,illustr,nsf,usa,mai,maravilhosa,que,outram,aaa"
63,Brisbane,"your,parti,hate,whi,would,think,australia,like,you,idiot,abbott,go,away"
64,Melbourne,"offici,are,buse,replac,train,south,barra,southern,cross,today"
65,Melbourne,"oh,shame,would,amaz,i,plan,come"
66,Brisbane,"the,view,offic"
67,Melbourne,"stallion,peopl,dont,care,mine,rusti,boy"
68,Melbourne,"awesom"
69,Sydney,"thank,good,brought,eisenhuth,mcqueen"
70,Perth,"1.04"
71,Perth,"um,i,start,watch,afldeesdon,im,wonder,bomber,wear,clash,jumper,demon"
72,Melbourne,"what,empow,coupl,day,thank,colleagu,around,world,neuropath,love"
73,Perth,""
74,Melbourne,"no,dearth,jokerstalin,blubber,donotvotefordmk,kickoutdmk,pleas,vote"
75,Melbourne,"i,dint,boo,i,dint,think,big,enough,good,enough,boo"
76,Sydney,"it,time,year,alway,interest,experi,attend,mindbodyspiritfestiv,madam"
77,Perth,"those,type,make,hop,mad,all,say,realli,lazi,even"
78,Brisbane,"withal,seen,derri,girl,yet"
79,Sydney,"life,sure,expens,af"
80,Melbourne,"when,bulli,like,ian,macdonald,realis,racist,incred,nasti,lip"
81,Brisbane,"squint,mcsquinti,report,day,late,sale,newsteadstudio,done,worri"
82,Sydney,"si,soho,na,synod,next,yeaaaaar,tape,na,silk,synod,synod,na"
83,Sydney,"benedict,arnold"
84,Melbourne,"meet,young,escort,melbourn,call,03993577,00,book,book,onlin"
85,Brisbane,"this,year,belov,cruiser,spent,time,road,various,problem,today"
86,Perth,"she,fire,tonight"
87,Sydney,"do"
88,Sydney,"you,stupid,pathet,man"
89,Perth,"budget,2019,20,way,forward,welfar,both,offer,tax,cut"
90,Sydney,"bahama,dont,think,even,possibl"
91,Perth,"are,go,grand,prix"
92,Brisbane,"1"
93,Perth,"fantast,pictur,kelli"
94,Sydney,"blueearbook,exact,and,accord,sneaki,pete,i,coastal,elit,even"
95,Sydney,"i,love,beauti,anger,all"
96,Sydney,"this,best,episod,ever,i,love,guy"
97,Perth,"love,song,stop,sing,fill,like,kid,lol,xx,yippe,yippe,yippe,yippe,yippe,yi"
98,Brisbane,"the,goldcrest,shall,forev,exemplifi,state,slogan,beauti,one,day,perfect,next,archiv"
99,Brisbane,"lynch,davegort,probabl,someon,get,distract"
100,Melbourne,"pay"
101,Sydney,"i,wonder,mani,agent,need,drag,10049,plus,fat,ass,justic"
102,Sydney,"drink,the,buzz,wommilton"
103,Perth,""
104,Melbourne,"im,sorri,i,think,im,develop,hatr,right,eight"
105,Sydney,"have,i,realli,met,skinner,legend,how,even,so,cute,definit,make,austral"
106,Sydney,"jj,ii,19"
107,Melbourne,"happi,thursday,happythursday,quot"
108,Melbourne,"a,queen,spoken"
109,Brisbane,"yes,yes,yes"
110,Sydney,"bear,attack,line,ball,goe,ground,close,frankhydeshield,standasid"
111,Perth,"so,accident,thought,film,well"
112,Sydney,"omg,i,love,brad,that,made,day,scaif,vast"
113,Sydney,"i,love,smell,justic,morn"
114,Brisbane,"boom"
115,Brisbane,""
116,Sydney,"way,ahead"
117,Melbourne,"goal"
118,Melbourne,"i,almost,vomit,there,potato,rotten,spud,mash,smash,dash,bal"
119,Brisbane,"50,how,go,long,is,50,women"
120,Sydney,"make,the,custom,the,hero,of,your,stori,dm,free,market,consult,deadwood,superhero,creativ"
121,Perth,"generat,zero,need,cheat,urgent,bore,run,mile,find,stuff,ammo,especi,got,hu"
122,Brisbane,"as,nsw,fan,pleas,make,dce,captain,rest,career,brissydan,would,love,blue"
123,Brisbane,"often,all,want,meat,greet"
124,Perth,"anoth,lip,looni,bulli"
125,Brisbane,"sorri,may,parachut,ago,hahahah,imellenyalthelastshoot"
126,Sydney,"that,roof,int,lyn,church,beyond,save,accord,fire,dept,franc"
127,Melbourne,"a,video,avi,releas,reveal,fill,eta,onlin,applic,wrong,gain,eta,invalid"
128,Melbourne,"popul,kam,noreen,warn,barhaani,hay"
129,Melbourne,""
130,Sydney,"i,miss,min,ink,pick,fun"
131,Sydney,"vanilla,malt,shake,cocktail,burger,sunset,diner,avalon,blow,today"
132,Melbourne,"ena,da,wast,huh"
133,Sydney,"new,chilli,today,hope,fruit,time"
134,Sydney,"congratul,but,claim,credit,gen,musharaf,org,org"
135,Melbourne,"os,ingress,maria,de,100,200,read,como,se,v,costa,caro,ser,um,indi,kkk,adai,soho,ir,num,show,cold"
136,Brisbane,"jajajajajja,menus,mal,eston,en,otto,contin"
137,Brisbane,"saint,turn,ord,qpr,hawthorn,break,mani,tackl,still,manag,get,handbal,away,saintshawthorn"
138,Perth,"honey,bunni,rabbit,vibrat,play,pay,later,zip,pay,rabbitvibr,sector"
139,Sydney,"jungl,mozambiqu,negro,strain,piquet,small,half,hate,jew,famili,egypt,pre,gore,mona"
140,Melbourne,"new,faculti,build,you,havent,seen,yet,it,massiv,beauti,insid"
141,Melbourne,"let,play,presidenti,lie,tell,boldfac,lie,bout,dad,born,ill,start,my,dad,bo"
142,Sydney,"manpow,better,watch"
143,Sydney,"allan,clem,xkkxxkjdnwjskxkckcdmwmxkm"
144,Melbourne,"atalanta,defend,high,dictat,play,creat,chanc,team,work,parma"
145,Sydney,"both,labor,lip,want,good,economi,the,differ,achiev,pay"
146,Melbourne,"justic,famili,there,harsh,penalti,fals,accus,come,austral"
147,Melbourne,""
148,Melbourne,"where,gemini"
149,Sydney,"boom,spectacular,racedown"
150,Brisbane,"im,small"
151,Sydney,"this,dixi,dead,i,love,tilda,teach,much"
152,Perth,"leavitt,thank,much"
153,Sydney,""
154,Sydney,"i,got,feel,rn"
155,Sydney,"elfin,monsieur,un,principl,oui,mai,si,vous,n,aim,pas,j,en,ai,autr"
156,Melbourne,"that,amaz,she,realli,connect,peopl"
157,Brisbane,"but,anyway,back,fan,spur,chelsea,moan,club,crisi,run,bad"
158,Melbourne,"that,watch,wrestl,11,year,pay,wrestlemania"
159,Sydney,"kenya,due,foot,nader,sampl,sonya,halo,nader,dean,disangka,jembatan,na"
160,Melbourne,"call,fuck,elect,eggplant"
161,Perth,"well,electr,car,initi,renew,energi,target,sure,sound,like,tune"
162,Sydney,"law,order,leda,mari,govt,em,chestundi,law,order,ni,varu,chusukovali,govt"
163,Perth,"testosteron,look"
164,Melbourne,""
165,Perth,"patterson"
166,Sydney,"day,3,electionread,auspex,ausvot,2019"
167,Melbourne,"wind,0,3,km,h,e,baromet,1011,9,ha,rise,slowli,temperatur,19,4,c,rain,today,0,0,mm,humid,76"
168,Brisbane,"watch,horridspor,87,twitch"
169,Brisbane,"with,5,second,go,saint,go,march,nrlbroncosdragon"
170,Sydney,""
171,Perth,"say"
172,Perth,""
173,Melbourne,""
174,Melbourne,"that,end,cricket,season,foxcricket,hope,everyon,enjoy,thankyou,opportun"
175,Melbourne,"thank,dumpfoxtel,tag,fetch,idea"
176,Melbourne,"you,never,know,get,uberpool,either,talkat,muthafuckaz,bitch,dont,even,greet"
177,Perth,"yay,chicken,w,chicken"
178,Perth,"i,got,car,sort,it,small,uncomfort,requir,4,aaa,batteri"
179,Perth,"collis,mayb,i,see,public,get,publish,much,di"
180,Perth,"david,revers,jinx,strategi"
181,Sydney,"hi,also,stream,tonight,2,hour"
182,Sydney,"muy,de,acuerdo,con,esto,limo,bo"
183,Sydney,"mkemmel,dora,gidiyoruz,sue,inan,birlik,baaryoruz"
184,Sydney,"abe,kina,chang,vo,ragbag,man,air,choke,hai,tum,itn,murki,na,ya,kejriw,ji,ka,tsar,hai"
185,Perth,"you,buy,right,softwar,edit,say,man,tracker,market,innovativestartup"
186,Sydney,"just,like,howard,scummi,move,famili,kirribilli,hous,term,offic"
187,Brisbane,"five,reason,live,brisban,australia"
188,Perth,"mayb,half,serv,chip"
189,Perth,"anna,ya,map,gorkhpur,baker,hospit,bahdon,ko,ho,ahi,oxygen,ki,ami,de"
190,Melbourne,"yes,modifi,good,politician,but,seem,misfir,pm"
191,Perth,"hed,get,massiv,boost,detect,said,climatechang,crock"
192,Brisbane,"free,cpr,cours,put,lifesav,skill,in,your,hand"
193,Sydney,"draw,anim,good,idea"
194,Perth,"tri,sort,life,i,die"
195,Brisbane,"i,stress"
196,Brisbane,"hey,delilah"
197,Sydney,"you,knew"
198,Sydney,"20,minut,this,exit,christma,gameofthorn"
199,Brisbane,"mmmm,nice,littl,treat"
200,Brisbane,"yeah,right,us,ord,world,countri"
201,Brisbane,"cobra"
202,Melbourne,"good,robotsong,work,mick,everyth,wonder"
203,Perth,"target,wholli,chemist,took,money,perth,western,australia"
204,Sydney,"condol"
205,Brisbane,"gera,de,gentl,milada,que,liar,com,frustrat,da,vida,c,marco"
206,Brisbane,""
207,Melbourne,"took,pictur,malibu,least,i,tri,aha"
208,Melbourne,"jimmi,realli,fan,buy,right,int,lol,fallontonight"
209,Perth,""
210,Perth,"my,kid,made,marvel,marathon,home,school,holiday,i,gotta,say,i,dint,hat"
211,Melbourne,"what,oh,f"
212,Brisbane,"been,use,4,yrs,final,get,around,2,certif,cours,great,chanc,2,refin,amp,b"
213,Sydney,"let,tell,squeal"
214,Perth,"mask,mad,desol,winter,wyvern"
215,Sydney,"or,ardent,follow"
216,Sydney,"hello,juan,mucha,gracia,amigo,interest,comment,consider,take,go"
217,Sydney,"that,tri,pathet,call,nrlsouthswarrior"
218,Brisbane,"this,var,essenti,the,assist,shoulder,blame,watch,moment"
219,Brisbane,"98,10,19,still,root,guy"
220,Perth,"the,govern,is,fail,miser,on,climatechang,latest,poll,budget,2019,onli,13,per,cent"
221,Sydney,"sicili,v,hawk,dog,win"
222,Sydney,"translat,test,gool,sheet"
223,Melbourne,"the,morrison,govern"
224,Brisbane,"2016,hyundai,load,van,much,effici,work,hors,new,alpin,halo,9,ill,f3000,9,appl,carla,and"
225,Brisbane,"du,love"
226,Brisbane,"omg,nagresign,ka,na,sahara,final"
227,Melbourne,"masai,7"
228,Sydney,"trio,minh,boca"
229,Melbourne,""
230,Perth,""
231,Brisbane,"australia,peng,far"
232,Perth,"well,free,still,th,need,win,next,week,thou"
233,Brisbane,"yep,souffl,nt,rise,twice"
234,Sydney,"good,stream"
235,Melbourne,"so,i,sunday,morn,instead,watch,ufc"
236,Melbourne,"they,tri,destroy,paulin,hansom,25,year,without,success"
237,Perth,"2109,price,exact,except,i,read,thread,dammit"
238,Melbourne,"dmk"
239,Perth,"excit,anoth,day,best,job,perth,work,come,smash,tonight,fr"
240,Melbourne,"where,get,poster"
241,Sydney,"like,accord,wife,cri,knee,refuge"
242,Sydney,"it,split,hair,it,fulli,govern,own,control,tens,set,servic,standard,free"
243,Perth,"what,f,k,french,govern,think,where,un,you,treat,peopl,iv"
244,Perth,""
245,Sydney,"macadam,amp,rita,best,accomplish,start,hunger,order,amp,book,70,wigram,sure"
246,Perth,"the,larg,homeless,guy,last,year,offer,quit,nice,rape,ars,spot,morn,scream,ac"
247,Brisbane,"closethecamp"
248,Sydney,"my,fingertip,numb,cantchangechordsquickenough,sydney,australia"
249,Melbourne,"im,realli,bad,i,think,sinc,ive,mari,london,cloth,im,tri,appreci"
250,Brisbane,"just,post,photo,right,here,next,this,place,across,road,there"
251,Sydney,"i,love,tattoo,to,heck,peopl,tell,dress,present"
252,Sydney,"bird,data,dei,ya"
253,Perth,"is,perth,best,basketbal,court,66,king,park,hoop,ballislif,video,video"
254,Brisbane,"you,see,anyth,bus,driver,decid,turn,light"
255,Brisbane,"when,went,howarth,open,day,scienc,lab,dark"
256,Perth,"it,8,day,u,perth,mak,aah,hope,ure,realli,good,time,see,u,soon"
257,Melbourne,"written,by,hidden,stud,trapez,artist,stud,poke,the,bear,retir,plenti,news,past,hour"
258,Sydney,"ive,got,much,brain,thing,i,wanna,talk,one,awak,listen,explod"
259,Brisbane,"fox,footi,cast,thousand,call,today,still,work,twenti,minut"
260,Perth,"mccormack,this,convent"
261,Perth,"get,queue"
262,Sydney,"except,lie,aiden,buddi,come,centr,right,you,know,right"
263,Melbourne,"dr,ahhh,upni,isoschizem,alway,pronounc,iso,schist,ever,mine,ccg"
264,Perth,"we,receiv,big,gift,supplier,simcox,cater,equip,supplier,australia,raini,day"
265,Melbourne,"mm,thai,dodg,raid,thai,street,food,bar,and,cafe,melbourn,vic"
266,Melbourne,""
267,Sydney,"i,wish,a,kezia,brook,lynn,use,veget,stuff,rupaulsdragrac"
268,Brisbane,"what,remark,man,incred,career,well,deserv"
269,Melbourne,"oh,god,love"
270,Melbourne,"you,know,nice,cafe,voluntarili,join,tabl,togeth,space,work,lunch,blond"
271,Sydney,"could,tidi,side,length,top,good"
272,Melbourne,"wow,don,know,world,i,w"
273,Brisbane,"ooooh,havent,seen,wont,forget,tune,tonight,cheer,psa,rove"
274,Sydney,"bad,guy,see,crown,buri,friend,slap,energi,channel,daili"
275,Brisbane,"could,end,onion,eat,monarch,love,shirtfront,priest,warringahvot,auspex,auspex"
276,Perth,"sandi,await,next,custom,golf,perthgolf,wolflin,hillier,golf,cours"
277,Brisbane,"sandberg,spiritu,health,well,self,help,memoir,i,one,book"
278,Melbourne,"just,ponder,order,two,new,cabbi,second,one,new,sister"
279,Perth,"perhap,except,vocabulari,rugbi,leagu,fan,wont,know,wha"
280,Perth,"set"
281,Brisbane,"great,see,music,student,hope,deter,nathan,melvin,tong,news,tonight,launch"
282,Brisbane,"achiev,block,i,aim,quadrupl,bypass,now,get,time"
283,Sydney,"a,magnific,monument,parthenonmarbl,goddess,athena,more,import"
284,Brisbane,"boy,luv,final,so,good,map,of,soul,persona,boywithluvoutnow,btscomeback,2019"
285,Perth,"edgi"
286,Melbourne,"nessun,dorma,none,shall,sleep,global,global,puccini,opera"
287,Sydney,"pure"
288,Perth,"is,bomber,get,near,decis"
289,Sydney,"351,lol,slap,harder,oh,yeah"
290,Melbourne,"poli,i,kind,hope,screw,job,end,someon,go,full,heel,turn"
291,Brisbane,"i,think,raptor,fine,i,think,0,chanc,user,lose,they,look"
292,Sydney,"miss,u,guy"
293,Brisbane,"i,mean,i,hope,id,get,attent,broken,arm,ill,take,i,get"
294,Perth,""
295,Melbourne,"lyche,amp,rose,most,love,the,lyche,chines,fruit,resembl,larg,strawberri,appear,burst"
296,Sydney,"god,mind,mess,noisi,think,im,gonna,learn,mediat,sunday,im,glad,could,sleep,last,night"
297,Brisbane,"wall,po,among,sa,pop,na,yan,kadi,gusto,din,cla,ng,anal,ko,ang,di,ko,lang,gusto,mas,pinopromot,pa,ng"
298,Sydney,"omg"
299,Melbourne,"good,night"
300,Melbourne,"i,see,laugh,wall,anymor,mm,lol,new,world,organis,shadow,perfect,miss,michael"
301,Sydney,"they,becam,beetroot,famili,qt"
302,Sydney,"the,accident,mullet,standard,pretti,high,day"
303,Melbourne,"oh,yeah,we,see,world,dont"
304,Perth,"ironsid,sinc,paid,journalist,state,own,impart"
305,Sydney,"like,fr,dont,eee-ee,invit,babi,shower,paint,meatbal,ill,mail,gift"
306,Sydney,"you,crazi"
307,Melbourne,"brigad,the,nada"
308,Melbourne,"i,would,thought,one,enough,god,court,oper,dark,age"
309,Sydney,"yeah,bullshit,that,heavi,belt,cop,kidney"
310,Perth,"now,codifi,condit,respons,adult,class,doo,behaviour,mod,app"
311,Melbourne,"they,anim"
312,Brisbane,"iron,pedestrian,bridg,tow,railway,station,queensland,ca,1890"
313,Perth,"relay,life,perth,one,largest,fundrais,relay,event,planet,it,late,enrol,pa"
314,Melbourne,"shush,noboborsho"
315,Brisbane,"the,real,captain,get,up,friend,made,along,way"
316,Sydney,"nah,well,done,one"
317,Perth,""
318,Sydney,"up,for,a,good,sexi,frolic,pop,on,into,citi,rose,for,glorious,full,servic,orgasm,inc,oral,and,massag,from,just"
319,Brisbane,"good,ya,kk,good,stuff"
320,Sydney,""
321,Brisbane,"jan,bupa,review"
322,Perth,"docker,miss,set,shot,goal"
323,Perth,"preview,trend,perth"
324,Melbourne,"me,phone"
325,Melbourne,"been,hot,minut,sinc,i,e,club,let,get,litttttt"
326,Perth,"that,the,truth,whi,australia,gun,law,matter,nra,and,we,want,in,on,the,deal,and,trie"
327,Brisbane,"add,coupl,extra,channel,9,poll"
328,Sydney,"deni,is,russian,spi"
329,Melbourne,"focus,day,today,digitalmarket"
330,Sydney,"got,new,swan,polo,shirt,2,year,gone,xl,larg"
331,Brisbane,"justvtetweet,forvsometh,read,later"
332,Brisbane,""
333,Sydney,"we,better,societi,need,rais,posit,social,conscious"
334,Brisbane,"the,brazen,bullshitt"
335,Sydney,"bridg,in,gear,in,front,icon,australia"
336,Melbourne,"natur,im,work,anoth,store,walk,outsid,10,see,two,peopl,ive,hook,interact,ensu"
337,Melbourne,"x"
338,Brisbane,"drink,st,georg"
339,Melbourne,"frontier"
340,Sydney,"im,angri,peopl,wont,let,democraci,happen,i,dint,vote"
341,Brisbane,"hi,john,hope,twitter,posit,experi,best,wish,rob"
342,Brisbane,"abi,nato,kinda,love,ba,away,ahi,man,day,among,pic,sahara"
343,Perth,"guess,global,yet"
344,Melbourne,"i,went,91,pele,back,eusebio,back,pele,everyth,said,true,truli,unbeliev"
345,Melbourne,""
346,Perth,"pass,queen,new,cheer,tip,badg,i,made,today,lt,3"
347,Brisbane,"hello,sister,twitter,ken,peach,robot,ke,tu"
348,Brisbane,"anoth,match,rugbi,mate,superrugbi,queenslandr,runcorn,stadium"
349,Perth,"when,content,correct,spell,grammar,checker,run,amok"
350,Melbourne,""
351,Brisbane,""
352,Brisbane,"i,like,steam,social,hub,discord,kinda,broke,game,communiti,much"
353,Melbourne,"enigma,yeah,ignor,either,bed,togeth"
354,Sydney,"im,current,read,bonker,book,absolut,nail,one,word,titl"
355,Melbourne,"how,fuck"
356,Melbourne,"wait,let"
357,Perth,"96,gayyyyy"
358,Sydney,"due,una,laura"
359,Melbourne,"labor,think,tax,credit,rich,keep,give,away,40,billion"
360,Brisbane,"becki,lynch,hair,remind,alli,horizon,zero,dawn"
361,Brisbane,"ape,yep,good,reason,stay,aliv,reckon"
362,Brisbane,"knight,lorrain,knight,i,hate,scott,morrison,much,evil,heart,like"
363,Melbourne,"ive,observ,intellig"
364,Melbourne,"ish,it,cough,time"
365,Perth,"wow,unexpect,nxttakeov"
366,Melbourne,"actual,cut,today"
367,Sydney,"a,simpl,dinner,incom,trout,allaboutfoodblog,dinner,miegoreng,instantnoodl"
368,Perth,"don,forget,player,spain,belgium,franc,morocco,ireland,token,englishman"
369,Perth,"what,shame,wasnt,around,michael,jone,height,power,we,might,wo"
370,Brisbane,"kaplan,yes,good,take,that,dutt"
371,Perth,"hors,you,dont,dead,stiff,pete"
372,Melbourne,"seem,like,fake,number"
373,Melbourne,"ronchey,burra,petti,papa,last,time,elect,appudu,legend,movi,ki,uda,edit,chesara,polit,seen"
374,Melbourne,""
375,Melbourne,"i,think,amaz,idea"
376,Brisbane,"tudor,lol"
377,Melbourne,"boson"
378,Melbourne,"delacours,he,hurri,unless,want,eat,cold,goos,couchpeloton"
379,Perth,"richard,robert,wagner,would,provid,confid"
380,Perth,"you,idiot,it,facet,labor,cc,polici,whi,would,talk,we,need"
381,Perth,"the,new,s10,secur,cryptowallet,got,hack"
382,Sydney,"im,love,can,sapporo"
383,Melbourne,"oh"
384,Brisbane,"today,data,i,expect,first,time,i,went,oh,that,interest,instead,worri"
385,Brisbane,"bridget,sound,good"
386,Brisbane,"havent,abl,snap,dirti,mood,day,i,think,i,need,beer,tune,hillbilli"
387,Melbourne,"italian,super,welterweight,titl,line,may,11,milan,featur,daniel,caduta,josef"
388,Brisbane,"alreadi,he,grub"
389,Melbourne,"the,first,thing,i,morn"
390,Melbourne,"she,alway,right"
391,Melbourne,"just,cant,wait,find"
392,Perth,""
393,Perth,"this,dream,wake"
394,Brisbane,"it,insight,incit,14"
395,Sydney,"aww,best,type,burgess"
396,Melbourne,"yes,absolut,must,includ,thing,or,never,accept,one,peopl"
397,Sydney,"auschampshockey,old,v,sa,detail"
398,Perth,"say,ira,kanu,enjoy,di,sing"
399,Brisbane,"eu,u"
400,Melbourne,"he,use,skinni,turd,hes,fat,prick,panda"
401,Brisbane,"what,wast,match,wrestlemania"
402,Sydney,"how,mani,said,would,buy,end,what,count,personalis,shirt"
403,Perth,"pak,jonathan,tay,di,scotch,see,memakainya"
404,Brisbane,""
405,Brisbane,"it,get,better,everi,week"
406,Sydney,"guess,whos,get,bun,back,decemb"
407,Melbourne,"she,lazi,wear,anyth,srf,anya,phena,nidal,pari"
408,Sydney,"he,buoy,i,girl,australian,nation,maritim,museum"
409,Sydney,"tweet,wwf"
410,Perth,"i,liter,cring,listen,sahara"
411,Perth,""
412,Brisbane,"sorri,late,start,night,last,night,assess,play,catch,earlier,sleep"
413,Melbourne,"95,anim"
414,Brisbane,""
415,Perth,"ffs,peopl,ensur,vaccin,stop,take,phoney,medic,advic,mundan"
416,Sydney,"sunset,sydney,harbour,excus,pink,light,hand,opera,sydney,harbour"
417,Sydney,"runnnnnnn,the,sydney,fog,come,oh,late,it,hat,ferri,captain,navig,us,c"
418,Perth,""
419,Melbourne,"scraggi,bontempelli,macra,libya,amp,smith,asid,drop,back,vol,week,none,could,complain,hard,done"
420,Melbourne,"wind,0,7,km,h,e,baromet,1018,8,ha,rise,slowli,temperatur,13,8,c,rain,today,0,0,mm,humid,91"
421,Melbourne,"jeff,guy,holmer,oh,sorri,i,attend"
422,Sydney,"snow,tree,branch,cover,light,snow,cover"
423,Brisbane,"welcom,world,roar"
424,Brisbane,""
425,Sydney,"men,game,start,5,minut,polo,sa,oval"
426,Brisbane,"perspect,that,gif,hahahahahahaha"
427,Sydney,"wilkinson,bless,big,doggi,treat,hug,puppi"
428,Melbourne,""
429,Brisbane,"great,day,today,improv,residenti,energi,effici,confer,free,2019,learnt,lot,discov"
430,Sydney,"labor,set,date,negat,gear,chang"
431,Brisbane,"interact,showbiz,get-up,worstshowev,eatstreet,foodnmus,fridaysess,eat,street,northmor"
432,Sydney,"im,attend,protect,meet,sydney,tomorrow,angelica,ill,sure,tag,women,protect"
433,Melbourne,""
434,Perth,"in,bedroom,think,ya"
435,Melbourne,"let,wayn,carey,know"
436,Brisbane,"me"
437,Brisbane,"i,never,play,persona,5,rumor,true,switch,should,i,play,switch"
438,Brisbane,"all,i,know,children,tri,forc,go,plant,base,well,h"
439,Perth,"ive,trade,gibbon,scott,fantasi,also,gone,coli"
440,Perth,"new,farm,realli,number,swan,that,big,call"
441,Melbourne,"aloud"
442,Melbourne,"of,big,tech,ipo,year,without,question,one,i,understand,i,need,explan"
443,Brisbane,"tamilnewyear,brisban"
444,Melbourne,"good,win,bomber"
445,Brisbane,"yeah"
446,Sydney,"i,cant,watch,caus,i,want,comment,everyth,the,open,oh,heart,children,kurt,kardashian"
447,Perth,"day,day,1,tonn"
448,Brisbane,"it,liter,say,forecast"
449,Melbourne,"land,69,is,trick"
450,Melbourne,"aha,cant,wait,show,easter,outfit"
451,Melbourne,"movi,follow"
452,Brisbane,"i,see,colour,dont,exist,personalassist,businessdevelop,businesstrip"
453,Sydney,"i,think,roster,penalti,come,sutton,nrleelsroost"
454,Brisbane,"outright,reject,oh,wow,this,outrag,i,sorri"
455,Brisbane,"in,last,30,day,fast,login,button,101,impress,so,far,today,3,000"
456,Brisbane,"a,full,hous,young,alumni,event,financ,fit,how,save,workshop,alumni"
457,Sydney,"thank,cornelia,i,great,encourag,although,i,note,descript,author,question"
458,Sydney,"can,i,get,amen"
459,Sydney,"has,ecuador,set,time,preced,kick,roommat,dont,clean,use,internet"
460,Sydney,"well,auspex,depress,arco,morn"
461,Perth,"actual,i,suspect,dont,practic,much,they,practic,everi,drill,kick,goal,aflsaintshawk"
462,Brisbane,"8,min"
463,Sydney,"new-york,new,york,next,stop,bloomberg,squar,mile,relay,global,seri,see,everybodi"
464,Perth,"in,como,languag,vulner,must,mean,least,rich,rich,mate,what,indict"
465,Sydney,"savag"
466,Sydney,"it,rain,three,garden,leg,nbaplayoff,celtic"
467,Melbourne,"that,polic"
468,Perth,"oh,thank,god,i,thought,go,cast,scarlett,johanson,major,role"
469,Perth,"bring,final,singapor,vii"
